intron_no,start,end,length
1,93928798,93973673,44876
2,93927408,93928701,1294
3,93924265,93927249,2985
4,93910706,93924239,13534
5,93906144,93910618,4475
6,93905916,93906020,105
7,93900930,93905783,4854
8,93898570,93900803,2234
9,93896692,93898447,1756
10,93893123,93896575,3453
11,93886504,93892932,6429
12,93884897,93886335,1439
13,93879315,93884727,5413
14,93877192,93879162,1971
15,93874406,93876965,2560
